cpuUsed,memUsed,Submit_day,Submit_Hour
4250.0,5.12,5.0,0.0
4505.0,12.288,5.0,0.0
4254.0,5.12,5.0,0.0
8641.0,12.288,5.0,0.0
4487.0,5.12,5.0,0.0
8641.0,12.288,5.0,0.0
4400.0,5.12,5.0,0.0
8641.0,12.288,5.0,0.0
4366.0,5.12,5.0,0.0
8640.0,12.288,5.0,0.0
4407.0,5.12,5.0,0.0
8640.0,12.288,5.0,0.0
4643.0,5.12,5.0,0.0
8640.0,12.288,5.0,0.0
4524.0,5.12,5.0,0.0
8640.0,12.288,5.0,0.0
3634.0,1.024,5.0,0.0
2534.0,1.024,5.0,0.0
2538.0,1.024,5.0,0.0
2508.0,1.024,5.0,0.0
3646.0,1.024,5.0,0.0
2519.0,1.024,5.0,0.0
2522.0,1.024,5.0,0.0
2546.0,1.024,5.0,0.0
1296.0,70.656,5.0,0.0
3685.0,1.024,5.0,0.0
4292.0,5.12,5.0,0.0
4292.0,12.288,5.0,0.0
3780.0,1.024,5.0,0.0
4291.0,5.12,5.0,0.0
4291.0,12.288,5.0,0.0
3736.0,1.024,5.0,0.0
20201.0,5.12,5.0,0.0
10369.0,12.288,5.0,0.0
3766.0,1.024,5.0,0.0
18713.0,5.12,5.0,0.0
10369.0,12.288,5.0,0.0
3946.0,1.024,5.0,0.0
15191.0,5.12,5.0,0.0
10369.0,12.288,5.0,0.0
3822.0,1.024,5.0,0.0
18488.0,5.12,5.0,0.0
10368.0,12.288,5.0,0.0
3660.0,1.024,5.0,0.0
20047.0,5.12,5.0,0.0
10368.0,12.288,5.0,0.0
3636.0,1.024,5.0,0.0
18553.0,5.12,5.0,0.0
10368.0,12.288,5.0,0.0
324.0,1.024,5.0,1.0
72.0,1.024,5.0,1.0
27.0,1.024,5.0,1.0
72.0,4.096,5.0,1.0
2.0,1.024,5.0,1.0
2.0,1.024,5.0,1.0
3.0,1.024,5.0,1.0
3.0,1.024,5.0,1.0
2.0,1.024,5.0,1.0
2.0,1.024,5.0,1.0
4.0,2.048,5.0,1.0
4.0,2.048,5.0,1.0
4.0,2.048,5.0,1.0
3.0,1.024,5.0,1.0
3.0,1.024,5.0,1.0
332.0,14.335999999999999,5.0,1.0
27.0,1904.64,5.0,1.0
6.0,4.096,5.0,2.0
6.0,4.096,5.0,2.0
6.0,4.096,5.0,2.0
6.0,4.096,5.0,2.0
6.0,4.096,5.0,2.0
543.0,1298.432,5.0,2.0
593.0,1385.4720000000002,5.0,2.0
587.0,1377.28,5.0,2.0
1042.0,1234.944,5.0,2.0
1119.0,1412.096,5.0,2.0
1436.0,2202.624,5.0,2.0
